rocket_length_cm,rocket_diameter_cm,total_mass_g,thrust_N,burn_time_s,wind_speed_mps,angle_of_launch_deg,center_of_mass_cm,center_of_pressure_cm,stable,motor_type_A,motor_type_B,motor_type_C,motor_type_D,motor_type_E
76.21780831931537,7.75357153204958,1597.9909127171077,255.49602527143793,1.614581882133978,0.9997491581800289,73.77746675897602,33.03915807911417,42.46450245708369,0,0,0,0,0,1
95.5621931064197,3.2820578951355013,1582.9981584002371,23.636499344142013,0.9585112746335845,3.0424224295953772,75.74269294896713,45.179703245059486,58.913294686738595,1,0,1,0,0,0
92.82970263056657,3.6974693032602093,938.2169728028273,55.29847965068651,2.9580772145169707,4.667628932479799,85.79821220208962,53.110009390944484,63.14273595353343,1,0,0,1,0,0
50.92854728119066,7.711008778424263,1344.932326768309,26.092275383467413,0.7441802850159597,6.842330265121569,73.20457481218804,17.764656189719343,35.55172991225762,0,0,1,0,0,0
52.40719647806529,7.546602010393911,888.1699724000254,104.93688608715289,1.800170052944527,5.4671027934327965,65.5456336657658,36.047443779167196,42.452613507226005,0,0,0,0,1,0
115.76492590949324,7.474136752138244,1396.8499682166278,83.61818311284304,1.313325826908161,3.8867728968948203,68.14047095321688,73.1049723110044,74.40227192780605,0,0,0,0,1,0
69.66541567811666,5.713480415791242,711.386337462144,171.92810298876333,2.9672173415012932,7.722447692966574,65.96147044602517,21.0535049373706,57.55649159216905,0,0,0,0,0,1
99.48001406933321,6.645035840204937,1656.9055200289185,308.20814056213584,2.127692563754861,9.149596755437807,85.50115733369398,47.728547975495864,53.53656692699574,1,0,0,0,0,1
75.95727765387865,6.3442062633180365,1498.883534926245,131.00459770841707,2.7180318564408164,4.722149251619493,63.58782737814905,44.45763623147504,61.09350329602462,0,0,0,0,1,0
89.28940382986474,6.854835899772805,1240.6933945465862,17.106628896857874,0.7772270520295783,4.393365018657701,66.05157607006188,58.77970012103323,61.622911445492576,0,1,0,0,0,0
89.42929003834686,6.477580432130638,708.9971816088135,246.3745746082677,1.0076530618369235,9.42853570557981,77.96596399465608,51.682436327936514,76.21049051706623,1,0,0,0,0,1
93.70478336936553,4.47816842918857,658.241389745406,144.29376615192916,0.9664251472150895,8.925589984899778,76.18026725746952,58.37583694015981,80.4396081400844,1,0,0,0,1,0
72.26024324803046,3.550259622638384,841.9027438129126,18.18014765922493,2.6518264581408584,0.06952130531190703,75.32241907732697,33.74296122318321,42.5499473887762,1,1,0,0,0,0
58.3905757133578,4.68807585701814,1914.3645558687788,14.038361710580407,0.662230617772454,2.539154139343447,67.40628188515804,33.78021565912182,45.831243780431365,0,1,0,0,0,0
